text,category
"allocation of capital allocation of capital i think we urgently next 2 days need to have a meeting to discuss where we allocate capital and risk . counterparties are very nervous and many are not extending us credit so we are having to prepay extensively to do business , both in the us and uk . i have two suggestions - allocate to each business a fraction of our available liquidity or - appoint someone to make the call when a large chunk of cash is needed . for example , egm wants to send out 200 - 300 million for sixty days to buy physical to cover an option with koch . we do not have infinite liquidity and we need to address it fast . i will try to set up a meeting tomorrow . rick",Meeting
aliaga ozurluler merkezi odullu yarýsma aliaga ozurluler merkezi odullu yarýsma izmir ili aliaga ilcesi sosyal yardimlasma ve dayanisma vakfinin yapmakta oldugu ozurluler projesi ile ilgili ?d?ll? yarisma halk dilinde fak - fun fon www . asyav . org . tr adresinden geni? bilgi alabilirsiniz yarisma ile ilgili detayli bilgi ve basvuru icin http www . asyav . org . tr tasarim adresine girebilirsiniz not t?m yar?sma elektronik ortamda yapilmaktadir internet ?zerinden katilabilirsiniz,Spam
"convenient shopping adobe photoshop cs 8 . 0 convenient shopping adobe photoshop cs 8 . 0 need software programs quark express 6 . 0 , symantec pcanywhere 11 . 0 , adobe premiere pro 1 . 5 come see more titles free shipping on any software you order everything is ready to available and ready to ship in here , what you want",Spam
"re confusion around treasury workstation re confusion around treasury workstation wes and i have discussed and are in agreement . we ' ll handle the issue . - - - - - original message - - - - - from kitchen , louise sent wednesday , january 09 , 2002 9 57 am to perlman , beth piper , greg perkins , mary colwell , wes cc webb , jay koehler , anne c . subject re confusion around treasury workstation i had presumed it got transferred - wes could you please sort . - - - - - original message - - - - - from perlman , beth sent wednesday , january 09 , 2002 9 44 am to kitchen , louise piper , greg perkins , mary cc webb , jay koehler , anne c . subject confusion around treasury workstation there seems to be some confusion around who will own the intellectual property for the treasury workstation application . it was mary ' s and my understanding that the ip would remain with the estate and a license would be given to netco to use the application . jay was under the impression that the ip was ",Job
"re pa and eta topics re pa and eta topics to be clear , that is 10 30 am new york time - - - - - original message - - - - - from kimmel , debra fi sent friday , january 04 , 2002 5 21 pm to flood , scott l gco stuckey , richard a fi casaudoumecq , john fi ' kitchen , louise ' costa , randall gco subject pa and eta topics a conference call has been scheduled for monday , january 7 th for 10 30 am to discuss the pa and eta topics with enron . below is the information for the conference call toll free number 888 - 780 - 9655 passcode eta leader richard stuckey confirm 656118 any questions , contact debra kimmel at 212 - 723 - 9472 thanks , debra",Meeting
This is a reminder for the client meeting scheduled for Thursday.,Meeting
"6 - refinance to 3 . 94 6 - refinance to 3 . 94 hi would you reflnance if you knew you ' d save thousands ? we ' ll get you lnterest as low as 3 . 97 . don ' t believe me ? fill out our small online form and we ' ll show you how . get the house and or car you always wanted , it only takes 2 minutes of your time - - - - - check it out",Spam
"re turkey re turkey the group to whom this message was sent is rac in london , related to london ' s focus on enron ' s equity interest in opet 18 million exposure . gwyn - - - - - - - - - - - - - - - - - - - - - - forwarded by gwyn koepke na enron on 04 19 2001 06 59 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - gwyn koepke 04 19 2001 06 58 pm to suryan wirya simunovic lon ect ect cc gkoepke enron . com ect , jolyon manning eu enron enron , padmesh thuraisingham lon ect ect , maureen raymond lon ect ect , mitra mujica enron enronxgate subject re turkey suryan , please find attached a brief on turkey , per your request . as stated in the brief , this is a preliminary forecast and is subject to change upon further government announcements related to external financing and monetary fx policies . gwyn koepke suryan wirya simunovic ect 04 19 2001 10 48 am to gkoepke enron . com cc jolyon manning eu enron enron , padmesh thuraisingham lon ect ect subject turkey gwyn , paddy and i",Other
"re summer internship re summer internship we should definitely bring him in for an interview . from lexi elliott 02 09 2001 09 04 am to richard causey corp enron enron cc mark e lindsey gpgfin enron enron , mike deville hou ect ect , sally beck hou ect ect subject summer internship this candidate is currently working in houston . since our schedules are full on - campus , it would be very easy to bring him in - house for interviews . please let me know if you are interested . thank you , lexi - - - - - - - - - - - - - - - - - - - - - - forwarded by lexi elliott na enron on 02 09 2001 09 09 am - - - - - - - - - - - - - - - - - - - - - - - - - - - judd eisenberg on 02 06 2001 01 11 05 am to lexi . elliott enron . com cc subject summer internship lexi elliot , hi , my name is judd eisenberg , and i am a business student at the university of texas who is seeking the summer analyst internship at enron . i received an opportunity to meet you at a reception dinner that enron hosted last semes",Internship
"accomplishments accomplishments sorry for the delay . . . ami 1 . tom asked for a historical number for entex the 2 nd week on the job in the morning meeting . he wasn , t expecting me to bring forth anything because i had just started . no one provided any information after the first day , so i decided to look it up and do it myself . tom was very pleased . 2 . tom gave that info to ed , and he asked for further data a . about cinco ranch , greatwood , and spring interconnects i coordinated with brad blevins and applied it to the fact that origination was booked for nov , but the points had yet to be operational . brad and i remain in close contact to share any entex interconnect info . b . research transport info documented why entex transport volumes decreased by 6000 , and used info towards the audit c . check weather forecast for nov i got weather info from mike roberts and developed some volumes that corresponded with historical data related to the average of the forecast . tom ,",Internship
